BPMC CVR	Sanofi and BPMC Acquisition CVR	0.00				CVR	NOT_TRADEABLE
BMA	Banco Macro S A	76.65	132.00	132.00	132.00	OK	TRADEABLE
BMI	Badger Meter Inc	135.80	160.00	162.50	165.00	OK	TRADEABLE
BMNR	Bitmine Immersion Technologies Inc	24.20	25.00	25.00	25.00	OK	TRADEABLE
BMO	Bank of Montreal	172.35	173.34	192.76	212.18	OK	TRADEABLE
BMY	Bristol-Myers Squibb Co	67.05	40.00	66.53	80.00	OK	TRADEABLE
BN.US	Brookfield Corp	41.97	51.00	55.33	61.00	OK	TRADEABLE
BNL	Broadstone Net Lease Inc	21.20	20.00	23.25	26.00	OK	TRADEABLE
BNS	The Bank of Nova Scotia	86.86	89.91	102.08	134.00	OK	TRADEABLE
BNT-US	Brookfield Wealth Solutions Ltd	42.04				NOFAQ	TRADEABLE
BNY	Bank of New York Mellon Corp	162.13	151.00	168.54	180.00	OK	TRADEABLE
BOBS	Bob's Discount Furniture, Inc	17.83	19.00	20.33	22.00	OK	TRADEABLE
BOC	Boston Omaha Corporation	14.00				NOFAQ	TRADEABLE
BOH	Bank of Hawaii Corp	76.16	85.00	87.20	92.00	OK	TRADEABLE
BOOT	Boot Barn Holdings Inc	159.69	202.00	234.86	282.00	OK	TRADEABLE
BORR	Borr Drilling Ltd	4.46	3.55	3.55	3.55	OK	TRADEABLE
BOX	Box Inc	33.00	36.00	36.00	36.00	OK	TRADEABLE
BP.US	BP plc ADR	42.86	41.00	47.40	53.00	OK	TRADEABLE
BR	Broadridge Financial Solutions	182.77	176.00	190.00	214.00	OK	TRADEABLE
BRBR	BellRing Brands Inc	10.76	13.00	16.50	20.00	OK	TRADEABLE
BRC	Brady Corporation	93.62	103.00	103.00	103.00	OK	TRADEABLE
BRCC	Brc Inc-A	8.55	1.75	13.38	25.00	OK	TRADEABLE
BRK.B	Berkshire Hathaway Inc	504.05	540.00	572.00	604.00	OK	TRADEABLE
BRO	Brown & Brown Inc	72.58	69.00	75.83	86.00	OK	TRADEABLE
BROS	Dutch Bros Inc.	51.08	68.00	77.33	86.00	OK	TRADEABLE
BRSL	Brightstar Lottery	11.61	11.00	13.50	16.00	OK	TRADEABLE
BRSP	BrightSpire Capital Inc	4.87	6.00	6.40	7.00	OK	TRADEABLE
BRT	BRT Apartments Corp	15.14	15.50	15.50	15.50	OK	TRADEABLE
BRX	Brixmor Property Group Inc	29.50	34.00	35.60	37.00	OK	TRADEABLE
BSAC	Banco Santander Chile-ADR	36.15	33.00	38.00	43.00	OK	TRADEABLE
BSBR	Banco Santander Brasil SA	5.80	5.20	5.60	6.00	OK	TRADEABLE
BSM	Black Stone Minerals LP	14.89	16.00	16.00	16.00	OK	TRADEABLE
BSX.US	Boston Scientific Corp	49.88	50.00	59.43	85.00	OK	TRADEABLE
BTG.US	B2Gold Corp	5.87	4.00	6.18	7.50	OK	TRADEABLE
BTGO	BitGo Holdings, Inc	7.10	6.50	10.58	15.00	OK	TRADEABLE
BTI	British American Tobacco PLC ADR	56.47				NOFAQ	TRADEABLE
BTU	Peabody Energy Corporation	27.46	27.00	29.88	36.00	OK	TRADEABLE
BUD	Anheuser-Busch Inbev Sa-ADR	78.75	97.00	101.00	105.00	OK	TRADEABLE
BUR	Burford Capital Ltd	4.47	6.08	6.08	6.08	OK	TRADEABLE
BURL	Burlington Stores Inc	315.27	318.00	385.33	440.00	OK	TRADEABLE
BV.US	BrightView Holdings Inc	11.15	10.80	13.80	16.00	OK	TRADEABLE
BVN	Compañía de Minas Buenaventura S.A.A	35.94	34.50	37.25	40.00	OK	TRADEABLE
BW	Babcock & Wilcox Enterprises Inc	7.83	23.00	23.00	23.00	OK	TRADEABLE
BWA	BorgWarner Inc	65.10	71.00	81.60	87.00	OK	TRADEABLE
BWMX	Betterware De Mexico Sapi De	16.28				NOFAQ	TRADEABLE
BWXT	BWX Technologies Inc.	149.73	170.00	227.60	253.00	OK	TRADEABLE
BX	BlackStone Group LP	142.55	119.00	142.00	171.00	OK	TRADEABLE
BXC	BlueLinx Holdings Inc	83.50	83.00	83.50	84.00	OK	TRADEABLE
BXDC	Blackstone Digital Infrastructure Trust Inc	20.68	22.00	23.75	26.00	OK	TRADEABLE
BXMT	Blackstone Mortgage Trust Inc	14.03	16.00	17.00	18.00	OK	TRADEABLE
BXP	Boston Properties Inc	71.59	60.00	77.17	87.00	OK	TRADEABLE
BXSL	Blackstone Secured Lending Fund	24.83	22.00	24.44	26.00	OK	TRADEABLE
BY	Byline Bancorp Inc	38.11	40.00	42.33	46.00	OK	TRADEABLE
BYD	Boyd Gaming	81.11	87.00	93.43	106.00	OK	TRADEABLE
BZH	Beazer Homes USA Inc	33.19	33.50	33.50	33.50	OK	TRADEABLE
