AWK	128.00	140.36	155.00	USD
AWR				USD
AX	110.00	119.14	128.00	USD
AXIAY	12.60	13.63	14.80	USD
AXP	315.00	375.96	450.00	USD
AXS.US	108.00	124.18	131.00	USD
AXTA	33.00	38.57	44.00	USD
AYI	358.00	398.29	465.00	USD
AZO	3200.00	3950.52	4800.00	USD
AZUL				USD
AZZ	144.00	164.00	200.00	USD
B	29.00	52.16	63.00	USD
BA	246.00	274.85	305.00	USD
BABA	95.04	186.84	237.82	USD
BAC	62.00	68.77	75.00	USD
BAH	68.00	85.58	140.00	USD
BAK	1.50	3.25	6.50	USD
BALL	63.00	72.57	79.00	USD
BAM	44.00	57.19	70.00	USD
BANC	20.00	22.27	24.00	USD
BAP	219.00	422.70	480.00	USD
BARK	12.00	15.50	19.00	USD
BAX	23.00	28.73	40.00	USD
BB	5.20	9.71	13.00	USD
BBAI	4.00	4.00	4.00	USD
BBAR	20.00	25.00	29.00	USD
BBD	3.69	4.55	5.50	USD
BBDC	9.50	9.96	10.25	USD
BBDO				USD
BBT	33.00	34.83	38.00	USD
BBUC	28.00	38.81	45.00	USD
BBVA.US				USD
BBW	60.00	61.25	65.00	USD
BBWI	17.00	24.33	54.00	USD
BBY	62.00	83.40	95.00	USD
BC	76.00	90.71	120.00	USD
BCC	89.00	96.50	105.00	USD
BCE	25.24	28.54	33.31	USD
BCH.US	21.00	39.88	47.00	USD
BCO	138.00	150.50	163.00	USD
BCS	27.10	30.26	33.50	USD
BCSF	12.00	12.67	13.00	USD
BDC	145.00	156.50	170.00	USD
BDN	2.50	3.00	3.50	USD
BDX	170.00	194.42	225.00	USD
BE	97.00	275.08	390.00	USD
BEKE	19.01	23.61	27.52	USD
BEN	26.00	35.18	41.00	USD
BEPC	33.00	39.17	43.00	USD
BETA	29.00	32.00	37.00	USD
BF-B	20.00	28.08	35.00	USD
BF.A				USD
BFAM	68.00	89.44	99.00	USD
BFH	79.00	115.44	132.00	USD
BFLY	5.25	9.31	11.00	USD
BFS	39.00	43.00	47.00	USD
BG	116.00	141.22	150.00	USD
BGS	3.00	4.20	5.00	USD
BH				USD
BHA				USD
BHB	38.00	41.00	44.00	USD
BHC	6.50	7.50	9.00	USD
BHE	76.00	86.00	92.00	USD
BHP				USD
BHVN	10.00	21.73	42.00	USD
BILL	43.00	56.90	75.00	USD
BIO.US				USD
BIP	41.00	47.10	57.00	USD
BIPC	50.00	50.00	50.00	USD
BIRK	38.69	53.98	76.36	USD
BJ	79.00	105.65	120.00	USD
BKD	17.00	19.25	23.00	USD
BKE	46.00	46.00	46.00	USD
BKH	80.00	84.80	87.00	USD
BKR	51.00	72.13	85.00	USD
BKSY	33.00	38.42	50.00	USD
BKTI	97.00	97.00	97.00	USD
BKU	42.00	50.27	55.00	USD
BKV	28.00	34.09	39.00	USD
BLCO	16.00	18.62	23.00	USD
BLDR	61.00	80.71	100.00	USD
BLK	1190.00	1320.81	1488.00	USD
BLND.US	1.80	2.96	4.00	USD
BLSH	25.00	38.44	50.00	USD
BLX	57.00	65.90	73.00	USD
BMA	83.90	113.76	148.55	USD
BMI	112.00	157.75	170.00	USD
BMNR	25.00	31.87	40.00	USD
BMO	147.59	170.78	189.19	USD
BMY	40.00	66.21	80.00	USD
