FOUR	0	0	1	1
FSK	2	0	0	2
FTRE	1	1	1	3
FVRR	1	0	0	1
GBX.US	1	1	0	2
GE	1	1	1	3
GGB	1	1	1	3
GIL	0	2	0	2
GLW	0	3	0	3
GNE	0	0	2	2
GOLD.US	0	0	1	1
GPI	1	2	0	3
GROY	0	0	1	1
GTN	1	1	0	2
GXO	3	0	0	3
HD	1	0	0	1
HG	0	2	1	3
HIMS	1	0	0	1
HLIO	1	2	0	3
HMN	1	0	0	1
HRB	1	2	0	3
HTB	2	0	1	3
HUBS	2	0	1	3
HXL	1	2	0	3
IDR.US	0	1	0	1
IMO	0	1	1	2
INSP	0	1	0	1
IOT	1	1	0	2
ITW	1	1	1	3
JBGS	0	0	1	1
JEF	2	0	1	3
JMIA	0	0	1	1
JXN	0	2	1	3
KDK	1	0	1	2
KFRC	1	1	1	3
KLAR	0	1	2	3
KN	0	3	0	3
KREF	1	1	1	3
KTB	2	1	0	3
LAC	0	0	1	1
LB	0	1	0	1
LDOS	1	1	0	2
LEVI	3	0	0	3
LLY	1	1	1	3
LOAR	0	1	1	2
LRN	2	0	0	2
LUCK	0	0	1	1
LYV	1	2	0	3
MAC	1	1	0	2
MBI	0	0	2	2
MCS.US	0	1	2	3
MHK	2	1	0	3
MKC/V	1	0	2	3
MMM	1	1	1	3
MPLX.US	0	2	1	3
MSGE	0	3	0	3
MTD	1	2	0	3
MUSA	1	2	0	3
NBR	0	1	2	3
NIO	0	1	0	1
NMAX	0	0	1	1
NOG	2	0	1	3
NP	2	0	0	2
NRG	1	1	1	3
NTR	2	1	0	3
NVT	0	2	1	3
OC	0	3	0	3
OKE	1	1	1	3
ORA.US	0	1	2	3
OSG	1	0	1	2
OWL	1	2	0	3
PARR	1	2	0	3
PBF	1	1	1	3
PCOR	0	0	2	2
PEN	1	1	1	3
PGR	1	1	0	2
PHR	0	1	1	2
PLGO	1	1	0	2
PNC	2	1	0	3
PPG	3	0	0	3
PRK	0	0	1	1
PXED	1	0	0	1
R	0	1	2	3
RBRK	1	1	0	2
RDN	0	3	0	3
REPX	2	1	0	3
RGA	2	0	1	3
RIO	2	1	0	3
RLI	2	0	1	3
RNG	0	1	2	3
ROL	0	3	0	3
RS	1	2	0	3
RVLV	0	1	0	1
RYN	1	2	0	3
SAH	0	1	1	2
SBS	0	1	0	1
SCL	0	0	2	2
SEG	0	0	2	2
SGI	1	0	1	2
SITC	0	0	1	1
SLB	1	2	0	3
SMA	1	1	0	2
SMRT	0	1	1	2
SNN.US	2	1	0	3
SOLV	1	1	1	3
SPG	1	2	0	3
SPXC	0	2	0	2
ST	0	2	0	2
STLA.US	0	1	2	3
STVN	3	0	0	3
SUPV.US	0	0	1	1
SWX	0	3	0	3
SYY	1	2	0	3
TAP	3	0	0	3
TDC	0	0	1	1
TE	1	1	0	2
TEVA	2	1	0	3
THO	2	0	1	3
TKO	1	2	0	3
TMO	3	0	0	3
TOL	0	1	1	2
TPR	1	1	1	3
TRIN	0	1	1	2
TRU.US	2	1	0	3
TSN	1	2	0	3
TU	1	0	2	3
TXT	0	3	0	3
UEC	0	1	2	3
UIS	0	1	0	1
UNFI	0	2	1	3
URG	0	0	2	2
USPH	1	1	1	3
VEEV	1	2	0	3
VICI	3	0	0	3
VMI	0	2	1	3
VPG	0	3	0	3
VSXY	0	2	1	3
VVV.US	1	2	0	3
WAL	2	0	1	3
WD	2	0	1	3
WEX	2	0	1	3
WOLF	1	0	1	2
WRBY	2	0	0	2
WY	2	1	0	3
XPO	2	0	1	3
YPF	1	1	0	2
ZIM	0	1	0	1
OBIO	0	0	1	1
ODD	1	0	1	2
OM.US	1	0	1	2
ONB	1	2	0	3
OPEN	0	1	1	2
OPRT	1	0	0	1
ORIC	0	1	2	3
OSW	1	1	0	2
ASAIY	0	0	1	1
PAGP	1	2	0	3
PAYP	0	1	0	1
PCT.US	1	1	1	3
PENN	2	1	0	3
PFG	1	2	0	3
PHAT	0	2	1	3
PKOH	0	2	0	2
PLRX	0	1	1	2
PLXS	1	1	1	3
PPC	1	0	1	2
PRCH	3	0	0	3
PRME	2	0	1	3
PRVA	2	0	0	2
PSNY	0	0	1	1
PTLO	1	0	1	2
PYPL	2	1	0	3
QCRH	0	1	2	3
RBC	1	2	0	3
RDNT	2	1	0	3
REG	0	3	0	3
RGLD	2	1	0	3
RIGL	0	1	1	2
RLMD	0	2	1	3
ROP	2	1	0	3
RUSHA	2	1	0	3
SANA	0	0	2	2
SCSC	2	1	0	3
SEIC	1	2	0	3
SFIX	1	1	1	3
SGHT	1	0	0	1
SHBI	1	0	1	2
SHOO	2	0	1	3
SIMO	1	2	0	3
SLDE	1	0	1	2
SLP	1	0	0	1
SMTC	1	1	0	2
SOUN	0	0	1	1
SRAD	1	0	1	2
SSP.US	0	1	0	1
STGW	0	1	1	2
STOK	1	0	2	3
STRL.US	0	2	0	2
SUPN	2	0	1	3
SWKS	0	1	1	2
TBBK	1	0	0	1
TCMD	1	0	0	1
TEM.US	1	1	1	3
THFF	1	1	0	2
TILE	2	0	0	2
TLS	0	1	0	1
TNDM	1	1	0	2
TREE.US	1	1	0	2
TRVI	1	1	1	3
TTMI	1	1	0	2
TXG	0	1	0	1
VC	0	2	0	2
VERA	1	0	2	3
VIAV	0	3	0	3
VITL	1	0	0	1
VNOM	2	0	0	2
VRNS	1	0	0	1
VSEC	1	1	0	2
WAY	2	0	1	3
WDC	0	2	1	3
WFRD	1	1	1	3
WING	2	0	0	2
WLTH	0	0	2	2
WSBC	1	1	1	3
WT	1	1	1	3
WWD	2	0	0	2
XENE	0	1	2	3
Z	1	0	1	2
ALC.ZU	1	0	2	3
NESN.ZU	0	0	1	1
ACTG	0	0	3	3
AAL	2	0	0	2
ABNB	2	1	0	3
ADP	1	2	0	3
ACIW	1	1	1	3
AKAM	1	1	0	2
ALNT	0	2	1	3
ALKS	1	1	1	3
ALDX	1	1	0	2
ALVO	1	0	0	1
AMPH	0	1	2	3
ANAB	1	0	1	2
ANNX	1	0	1	2
APEI	2	1	0	3
ARQT	0	2	1	3
ARGX	0	2	0	2
ASLE	2	0	1	3
ASST	1	0	0	1
AVAH	1	1	1	3
AVO	0	1	0	1
AXSM	1	1	1	3
AUDC.US	0	1	0	1
BANR	3	0	0	3
BCPC	2	1	0	3
BHF	2	0	1	3
BLFS	1	0	1	2
BNTX	2	1	0	3
BRKR	1	0	0	1
BTDR	0	0	1	1
BWB	1	1	1	3
CAC	1	0	1	2
CAMT	1	1	0	2
CART	1	1	1	3
CCC.US	0	1	1	2
CDNA	1	2	0	3
CEG	1	0	2	3
CGNT	1	1	0	2
