1658.HK	Postal Savings Bank of China Co	5.00			4.91%
168.HK	Tsingtao Brewery Company Limited	42.86			6.30%
1698.HK	Tencent Music Entertainment	34.14			2.75%
1766.HK	CRRC Corporation Limited	5.27			4.90%
177.HK	Jiangsu Expressway Company Limited	9.53			5.88%
1772.HK	Ganfeng Lithium Group Co L H	40.54			0.42%
1776.HK	GF Securities Co Ltd	18.30			3.74%
1787.HK	Shandong Gold Mining Co Ltd	24.98			2.06%
1797.HK	Koolearn Technology Holding Ltd	23.80			0%
1800.HK	China Communications Construction	3.69			5.89%
1801.HK	Innovent Biologics Inc	109.80			0%
1810.HK	Xiaomi Corp	28.46			0%
1816.HK	CGN Power Co Ltd	3.00			3.28%
1818.HK	Zhaojin Mining Industry H	23.44			0.49%
1833.HK	Ping An Healthcare and Technology Co Ltd	6.64			0%
1873.HK	Viva Biotech Holdings	1.56			0%
1876.HK	Budweiser Brewing Company APAC Limited	6.33			6.99%
1880.HK	China Tourism Group Duty Free Corporation Limited	49.26			1.05%
1898.HK	China Coal Energy	11.59			3.72%
1913.HK	Prada S.p.A.	40.86			3.68%
1919.HK	COSCO SHIPPING Holdings Co Ltd	17.55			6.37%
1929.HK	Chow Tai Fook Jewellery Group Limited	13.47			4.97%
1958.HK	BAIC Motor Corp Ltd	0.85			0%
1966.HK	China SCE Property Holdings Ltd	0.05			0%
1988.HK	China Minsheng Bank	3.44			6.11%
1997.HK	Wharf Real Estate Investment Co Ltd	32.00			7.06%
200.HK	Melco International Development Ltd	3.23			0%
2007.HK	Country Garden	0.19			0%
2013.HK	Weimob Inc	1.00			0%
2015.HK	Li Auto Inc	48.10			0%
2016.HK	China Zheshang Bank Co Ltd	2.32			6.49%
2057.HK	ZTO Express (Cayman) Inc	163.80			3.29%
2202.HK	China Vanke Co Ltd	2.44			0%
2238.HK	Guangzhou Automobile	2.12			0%
2268.HK	Wuxi XDC Cayman Inc	77.25			0%
2318.HK	Ping An Insurance	57.65			5.29%
2328.HK	Picc Property And Casualty	16.27			4.73%
2331.HK	Li Ning Co Ltd	13.57			4.69%
2333.HK	Great Wall Motor	8.22			4.89%
2338.HK	Weichai Power	32.12			2.56%
2359.HK	WuXi AppTec Co Ltd	199.80			0.90%
2367.HK	Giant Biogene Holding Co Ltd	27.20			2.27%
2423.HK	KE Holdings Inc	48.02			1.50%
2513.HK	Knowledge Atlas Technology JSC Ltd	1.04K			0%
2588.HK	BOC Aviation Limited	73.35			4.84%
2600.HK	Aluminum Corp of China Ltd H	8.58			3.54%
2601.HK	China Pacific Insurance	30.04			4.40%
2607.HK	Shanghai Pharmaceuticals H	11.44			4.69%
2611.HK	Guotai Haitong Securities Co Ltd	15.76			3.58%
2618.HK	JD Logistics Inc	11.23			0%
2628.HK	China Life Insurance (HK)	29.20			3.32%
267.HK	CITIC Limited	12.93			5.12%
2727.HK	Shanghai Electric Group Company Limited	2.96			0.55%
2799.HK	China CITIC Financial Asse H	0.64			0%
288.HK	WH Group Ltd	8.06			5.08%
2883.HK	China Oilfield	7.21			4.48%
2899.HK	Zijin Mining	38.08			3.05%
291.HK	China Resources Beer (Holdings) Company Limited	20.42			5.62%
293.HK	Cathay Pacific Airways	14.79			5.68%
3.HK	Hong Kong & China Gas Co Ltd	7.36			4.76%
300.HK	Midea Group Co Ltd	98.65			4.98%
316.HK	Orient Overseas International Ltd	170.30			5.22%
3311.HK	China State Construction Int	7.91			7.90%
3323.HK	China National Building Material	3.81			4.50%
3328.HK	Bank of Communications	7.57			4.85%
3347.HK	Hangzhou Tigermed Consulting Co Ltd	40.44			0.36%
341.HK	Cafe de Coral Holdings Ltd	5.22			7.66%
358.HK	Jiangxi Copper Co Ltd H	39.90			2.83%
3606.HK	Fuyao Glass Industry Group H	56.15			4.20%
3618.HK	Chongqing Rural Commercial Bank Co Ltd	6.51			5.53%
3692.HK	Hansoh Pharmaceutical Group	31.74			1.36%
3750.HK	Contemporary Amperex Technology Co Limited	618.00			0.66%
3759.HK	Pharmaron Beijing Co Ltd	30.90			0.74%
3800.HK	GCL Technology Holdings Ltd	0.73			0%
3808.HK	Sinotruk Hong Kong Ltd	39.70			4.08%
3888.HK	Kingsoft Corp Ltd	24.46			0.53%
3898.HK	Zhuzhou CRRC Times Electri H	32.16			3.93%
3958.HK	Orient Securities Company Limited	5.76			6.27%
3968.HK	China Merchants Bank	49.42			4.60%
3969.HK	China Railway Signal & Com H	3.19			6.13%
3988.HK	Bank of China	5.55			4.60%
3996.HK	China Energy Engineering Corp Limited	1.05			3.39%
3998.HK	Bosideng Intl Hldgs Ltd	4.46			7.02%
4.HK	Wharf Holdings Ltd	20.54			1.95%
6030.HK	CITIC Securities Co Ltd	27.64			2.85%
6055.HK	China Tobacco International HK Co Ltd	25.48			2.04%
6066.HK	CSC Financial Co Ltd	12.06			3.17%
6099.HK	China Merchants Securities Co	15.70			4.11%
6160.HK	BeiGene Ltd	228.20			0%
6178.HK	Everbright Securities Company Limited	7.43			4.31%
6181.HK	Laopu Gold Co Ltd	405.40			5.96%
6185.HK	CanSino Biologics Inc	35.68			0%
6186.HK	China Feihe Ltd	3.27			7.65%
6198.HK	Qingdao Port International H	6.96			5.60%
6618.HK	JD Health International Inc	37.30			0%
669.HK	Techtronic Industries Co Ltd	137.40			1.87%
6690.HK	Haier Smart Home Co Ltd	21.52			6.13%
670.HK	China Eastern Airlines Corporation Limited	2.95			0%
6806.HK	Shenwan Hongyuan Group Co Ltd	2.52			4.93%
6818.HK	China Everbright Bank Company Limited	3.04			6.47%
6936.HK	SF Holding Co Ltd	32.80			3.04%
6969.HK	Smoore International Holdings Limited	11.39			3.51%
6990.HK	Sichuan Kelun Biotech Biopharmaceutical Co Ltd	520.50			0%
7489.HK	VOYAH Automobile Technology Co Ltd	111.00			0%
778.HK	Fortune Real Estate Investment Trust	4.54			7.55%
780.HK	Tongcheng Travel Holdings Lt	12.12			2.06%
788.HK	China Tower Corp Ltd	9.25			5.60%
823.HK	Link REIT	39.34			6.45%
83.HK	Sino Land Co Ltd	10.76			5.39%
836.HK	China Resources Power Holdings Company Limited	18.66			6.04%
874.HK	Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd	14.11			6.78%
960.HK	Longfor Group Holdings Ltd	6.89			1.15%
9618.HK	JD.com Inc	113.10			3.46%
9626.HK	Bilibili IncClass Z	127.50			0%
9633.HK	Nongfu Spring Co Ltd	44.08			2.56%
9658.HK	Super Hi International Holding Ltd	11.11			0%
9660.HK	Horizon Robotics Inc	4.74			0%
9696.HK	Tianqi Lithium Corp H	36.44			0%
9863.HK	Zhejiang Leapmotor Technologies Ltd	40.10			0%
9866.HK	NIO Inc Class A	35.08			0%
9868.HK	XPeng Inc	46.68			0%
9888.HK	Baidu Inc	90.90			0%
9896.HK	Miniso Group Holding Ltd	22.54			5.77%
9901.HK	New Oriental Education & Tec	44.98			0%
991.HK	Datang Intl Power Gen Co H	2.46			6.78%
9926.HK	Akeso Inc	94.20			0%
9961.HK	Trip.com Group Limited	358.00			0%
9988.HK	Alibaba Group Holding Ltd (Hong Kong)	116.60			0.88%
9992.HK	Pop Mart International Group Limited	154.30			1.77%
9999.HK	NetEase Inc	195.50			2.41%
