EXC	Exelon Corp	45.06	75.00%	Hold	2.83%
KMB	Kimberly-Clark Corp	108.69	54.55%	Moderate Buy	4.65%
XRX	Xerox Corp	2.84	50.00%	Moderate Buy	3.45%
IEP	Icahn Enterprises LP	6.65			0%
PCAR	Paccar Inc	128.94	66.67%	Moderate Buy	1.03%
GT	Goodyear Tire & Rubber Co	5.84	75.00%	Moderate Buy	0%
AEP	American Electric Power Inc	125.70	50.00%	Moderate Buy	3.14%
APA	APA Corporation	44.39	52.94%	Hold	2.30%
CHRW	C.H.Robinson Worldwide Inc	143.83	72.73%	Moderate Buy	1.77%
TXN	Texas Instruments Inc	265.60	56.00%	Moderate Buy	2.15%
CSX	CSX Corp	50.97	66.67%	Moderate Buy	1.05%
ADP	Automatic Data Processing Inc	279.21	69.23%	Hold	2.36%
CDW	CDW Corp	133.54	66.67%	Moderate Buy	1.83%
XEL	Xcel Energy Inc	78.71	92.31%	Strong Buy	3.05%
ROST	Ross Stores Inc	228.99	68.75%	Moderate Buy	0.71%
PFG	Principal Financial Group Inc	110.54	60.00%	Hold	2.88%
HSIC	Henry Schein Inc	88.46	64.29%	Moderate Buy	0%
CTSH	Cognizant Technology Solutions Corp	60.92	55.00%	Moderate Buy	2.10%
CHTR	Charter Communications Inc	147.76	53.85%	Hold	0%
AMAT	Applied Materials Inc	496.21	89.29%	Strong Buy	0.50%
STLD	Steel Dynamics Inc	219.00	55.56%	Moderate Buy	0.90%
DLTR	Dollar Tree Inc	128.45	47.37%	Moderate Buy	0%
NWSA	News Corp	29.65	100.00%	Moderate Buy	0.66%
CPB	Campbell Soup Co	23.77	66.67%	Moderate Sell	6.51%
VC	Visteon Corp	105.34	72.73%	Moderate Buy	0.97%
ORLY	O'Reilly Automotive Inc	89.08	90.00%	Strong Buy	0%
CASY	Casey's General Stores Inc	828.38	66.67%	Moderate Buy	0.28%
LKQ	LKQ Corp	25.98	85.71%	Strong Buy	4.66%
GEN	Gen Digital Inc	28.18	57.14%	Moderate Buy	1.73%
NTAP	NetApp Inc	192.81	66.67%	Moderate Buy	1.08%
SANM	Sanmina Corp	190.72	100.00%	Hold	0%
JBHT	J.B.Hunt Transport Services Inc	274.47	55.00%	Moderate Buy	0.65%
MAT	Mattel Inc	14.72	55.56%	Moderate Buy	0%
JBLU	JetBlue Airways Corp	4.74	58.33%	Moderate Sell	0%
NWL	Newell Brands Inc.	5.79	50.00%	Hold	4.60%
CLMT	Calumet Inc	48.29	50.00%	Moderate Buy	0%
EXPE	Expedia Group Inc	324.17	60.71%	Moderate Buy	0.55%
NAVI	Navient Corp	9.10	60.00%	Moderate Sell	6.77%
AMD	Advanced Micro Devices Inc	469.45	81.82%	Strong Buy	0%
WYNN	Wynn Resorts Ltd	99.60	100.00%	Strong Buy	1.00%
HST	Host Hotels & Resorts Inc	23.09	57.14%	Moderate Buy	3.36%
FISV	Fiserv Inc	51.38	79.17%	Hold	0%
CINF	Cincinnati Financial Corp	168.19	60.00%	Moderate Buy	2.15%
Z	Zillow Group Inc	35.72	75.00%	Hold	0%
LRCX	Lam Research Corp	310.53	86.96%	Strong Buy	0.33%
CTAS	Cintas Corp	203.52	69.23%	Moderate Buy	0.92%
ANDE	Andersons Inc	67.32	100.00%	Strong Buy	1.17%
NTRS	Northern Trust Corp	182.51	66.67%	Hold	1.74%
INTU	Intuit Inc	361.87	60.00%	Moderate Buy	1.31%
FWONA	Liberty Media Formula One Corp Series A	95.60	100.00%	Strong Buy	0%
BLMN	Bloomin Brands Inc	10.48	83.33%	Hold	0%
HAS	Hasbro Inc	93.56	81.82%	Strong Buy	2.99%
TROW	T Rowe Price Group Inc	112.19	63.64%	Moderate Sell	4.61%
SLGN	Silgan Holdings Inc	41.12	87.50%	Strong Buy	1.93%
MAR	Marriott International Inc	356.60	52.94%	Moderate Buy	0.97%
MTCH	Match Group, Inc	40.35	66.67%	Moderate Buy	1.91%
SEDG	SolarEdge Technologies	30.90	68.75%	Hold	0%
REGN	Regeneron Pharmaceuticals Inc	826.64	63.16%	Moderate Buy	0.44%
NTLA	Intellia Therapeutics Inc	12.44	50.00%	Moderate Buy	0%
EDIT	Editas Medicine Inc	2.94	71.43%	Moderate Buy	0%
CLLS	Cellectis SA-ADR	3.47	100.00%	Moderate Buy	0%
FIBK	First Interstate BancSystem Inc	37.81	40.00%	Hold	5.01%
UMBF	UMB Financial Corp	145.86	83.33%	Strong Buy	1.16%
CBSH	Commerce Bancshares Inc	58.80	100.00%	Hold	1.86%
FFIN	First Financial Bankshares Inc	34.23	66.67%	Moderate Buy	2.31%
UBSI	United Bankshares Inc/WV	47.70	66.67%	Moderate Buy	3.16%
HWC	Hancock Whitney Corp	75.66	77.78%	Strong Buy	2.52%
TFIN	Triumph Financial Inc	73.93	100.00%	Hold	0%
BOKF	BOK Financial Corp	139.84	100.00%	Hold	1.79%
CVBF	CVB Financial Corp	22.52	100.00%	Strong Buy	3.54%
FULT	Fulton Financial Corp	23.62	75.00%	Hold	3.17%
CATY	Cathay General Bancorp	62.42	75.00%	Hold	2.31%
FHB	First Hawaiian Inc	26.61	63.64%	Moderate Sell	3.95%
EBC	Eastern Bankshares Inc	22.74	75.00%	Strong Buy	2.37%
SFNC	Simmons First National Corp	22.98	80.00%	Hold	3.72%
CASH	Meta Financial Group Inc	83.97	100.00%	Moderate Buy	0.24%
LKFN	Lakeland Financial Corp	60.44	100.00%	Hold	3.42%
PETS.US	PetMed Express	1.76			0%
TBBK	Bancorp Inc	66.91	100.00%	Strong Buy	0%
FBNC	First Bancorp/Southern Pines NC	64.24	50.00%	Moderate Buy	1.45%
BATRK	Atlanta Braves Holdings IN-C	52.98			0%
FIVN	Five9 Inc	32.30	76.47%	Strong Buy	0%
