SLPb.ST	6.7	1.5	1.0	1.0	1.5	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.5	0.5	0.5	1.0	2.0	0.5	2.0	17
RGC	3.5	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	9
AVPT	5.3	0.0	0.0	1.0	0.0	1.5	2.0	2.0	1.0	1.0	1.5	2.0	0.5	0.0	1.5	1.0	1.0	1.5	1.5	18
ASX	5.7	0.0	0.0	1.0	1.5	1.0	2.0	0.5	1.0	0.0	0.5	2.0	0.5	2.0	2.0	2.0	1.0	2.0	1.5	18
1398.HK	5.8	1.5	1.0	1.0	1.5	2.0	1.0	0.0	2.0	1.0	1.5	0.5	2.0	1.0	1.0	2.0	0.0	2.0	0.0	15
03690.HK	4.7	0.0	1.0	1.0	2.0	0.0	1.5	1.0	0.0	0.0	2.0	1.0	1.5	1.0	2.0	1.0	0.0	2.0	0.0	16
PSNL	3.8	1.0	2.0	1.0	1.5	0.0	2.0	0.5	0.0	0.0	0.5	1.0	0.5	1.0	0.0	1.0	0.0	1.5	0.0	16
HEIJM.NV	5.8	1.0	1.0	1.0	1.0	1.0	1.5	0.5	0.5	2.0	0.5	2.0	1.0	1.5	2.0	2.0	0.5	1.0	1.0	16
BIPC	6.5	1.0	2.0	1.0	1.0	0.5	1.0	2.0	2.0	0.0	0.5	1.0	1.0	2.0	1.0	2.0	2.0	1.5	2.0	14
NIBEB.ST	6.1	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.5	2.0	1.5	1.0	1.5	2.0	1.0	1.0	1.0	17
UBI.PA	5.6	0.5	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	1.5	1.0	2.0	2.0	2.0	1.0	1.5	1.0	1.5	13
ALTAO.PA	4.3	1.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5	2.0	12
ACWN.DE	5.0	0.0	1.0	1.0	1.0	0.5	1.0	2.0	0.0	0.0	0.5	1.0	2.0	2.0	2.0	1.0	0.5	2.0	0.5	15
LNT	6.1	1.0	1.0	1.0	1.5	1.5	1.0	1.5	1.5	0.0	1.5	1.5	1.5	1.0	1.0	1.5	2.0	0.0	2.0	18
SRAD	6.7	0.0	2.0	1.0	0.0	1.0	1.5	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.5	1.0	2.0	1.0	2.0	18
ALFRE.PA	5.3	2.0	1.0	1.0	1.0	1.0	0.5	0.0	0.5	0.5	0.5	0.0	2.0	2.0	2.0	2.0	0.5	2.0	0.5	16
APETIT.HE	4.9	0.5	1.0	1.0	0.5	1.0	0.5	1.0	0.0	2.0	0.5	2.0	2.0	1.0	2.0	0.0	0.5	1.0	1.0	17
VSH	5.4	1.5	0.0	1.0	2.0	1.0	1.5	1.0	0.5	0.0	1.0	2.0	1.5	1.0	2.0	0.0	0.5	2.0	1.0	18
IMMR	5.4	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.0	2.0	0.5	2.0	2.0	1.5	2.0	0.0	0.5	2.0	0.5	16
ZM	6.8	0.0	2.0	1.0	1.0	2.0	1.0	2.0	1.5	1.5	2.0	0.0	1.5	1.0	1.5	1.0	1.5	2.0	2.0	18
