IPH.ASX	IPH Limited	3.69			10.64%
IRE.ASX	Iress Limited	6.23			2.12%
JBH.ASX	JB Hi-Fi Limited	69.87			3.04%
JHX.ASX	James Hardie Industries plc	42.43			0%
JIN.ASX	Jumbo Interactive Ltd	7.65			5.51%
KAR.ASX	Karoon Energy Ltd	1.77			3.18%
KGN.ASX	Kogan.Com Ltd	3.82			4.04%
KLS.ASX	Kelsian Group Limited	4.78			3.85%
LIC.ASX	Lifestyle Communities Limited	5.72			0%
LKE.ASX	Lake Resources NL	0.05			0%
LLC.ASX	Lendlease Group	2.92			0%
LOV.ASX	Lovisa Holdings Limited	24.58			2.90%
LTR.ASX	Liontown Ltd	1.21			0%
LYC.ASX	Lynas Rare Earths Limited	16.47			0%
MAQ.ASX	Macquarie Technology Group L	59.34			0%
MFG.ASX	Magellan Financial Group Limited	10.83			3.57%
MGR.ASX	Mirvac Group	1.87			5.14%
MIN.ASX	Mineral Resources Limited	66.85			0%
MMS.ASX	Mcmillan Shakespeare Ltd	20.34			6.62%
MND.ASX	Monadelphous Group Limited	28.60			3.05%
MP1.ASX	Megaport Limited	17.47			0%
MPL.ASX	Medibank Private Limited	4.82			3.86%
MQG.ASX	Macquarie Group Limited	252.78			2.77%
MTS.ASX	Metcash Limited	2.98			5.96%
MYR.ASX	Myer Holdings Limited	0.21			7.14%
NAB.ASX	National Australia Bank Limited	38.34			4.44%
NAN.ASX	Nanosonics Limited	3.03			0%
NCK.ASX	Nick Scali Ltd	15.28			4.74%
NEC.ASX	Nine Entertainment Co. Holdings Limited	0.96			8.13%
NEU.ASX	Neuren Pharmaceuticals Ltd	22.56			0%
NHC.ASX	New Hope Corporation Limited	5.86			4.27%
NHF.ASX	nib holdings limited	6.81			4.23%
NIC.ASX	Nickel Industries Limited	0.88			0%
NSR.ASX	National Storage REIT	2.79			4.16%
NST.ASX	Northern Star Resources Limited	24.47			2.28%
NUF.ASX	Nufarm Limited	3.06			0%
NVX.ASX	Novonix Limited	0.14			0%
NWH.ASX	NRW Holdings Limited	7.83			2.31%
NWL.ASX	Netwealth Group Limited	22.29			1.89%
NWS.ASX	News Corporation	48.99			0.61%
NXT.ASX	NEXTDC Limited	13.60			0%
ORA.ASX	Orora Limited	1.50			6.76%
ORG.ASX	Origin Energy Limited	11.85			5.04%
ORI.ASX	Orica Limited	22.32			2.71%
PDN.ASX	Paladin Energy Ltd	11.98			0%
PLS.ASX	PLS Group Ltd	5.12			0%
PME.ASX	Pro Medicus Limited	191.29			0.34%
PMV.ASX	Premier Investments Limited	11.81			8.06%
PNI.ASX	Pinnacle Investment Management Group Limited	18.10			3.13%
PNV.ASX	PolyNovo Limited	1.06			0%
PPT.ASX	Perpetual Limited	19.62			5.77%
PRU.ASX	Perseus Mining Limited	6.21			1.49%
PWH.ASX	Pwr Holdings Ltd	11.85			0.42%
PXA.ASX	PEXA Group Limited	8.04			0%
QAN.ASX	Qantas Airways Limited	9.28			3.94%
QBE.ASX	QBE Insurance Group Limited	22.22			5.09%
RDX.ASX	Redox Ltd/Australia	3.46			5.62%
REA.ASX	REA Group Limited	178.17			1.48%
REH.ASX	Reece Limited	16.47			1.03%
RGN.ASX	Region Group	2.25			6.27%
RHC.ASX	Ramsay Health Care Limited	44.31			1.87%
RIC.ASX	Ridley Corp Ltd	2.66			3.90%
RIO.ASX	Rio Tinto Group	179.01			3.73%
RMD.ASX	ResMed Inc	32.53			1.09%
RMS.ASX	Ramelius Resources Ltd	3.98			1.98%
RRL.ASX	Regis Resources Limited	8.54			2.32%
RWC.ASX	Reliance Worldwide Corporation Limited	4.17			1.60%
S32.ASX	South32 Limited	5.11			1.84%
SCG.ASX	Scentre Group	3.59			5.01%
SDF.ASX	Steadfast Group Limited	5.82			3.41%
SDR.ASX	Siteminder Ltd	3.38			0%
SEK.ASX	SEEK Limited	14.47			3.31%
SFR.ASX	Sandfire Resources Limited	22.86			0%
SGH.ASX	SGH Ltd	40.39			1.60%
SGM.ASX	Sims Limited	24.37			1.11%
SGP.ASX	Stockland	4.65			5.49%
SGR.ASX	The Star Entertainment Group Limited	0.13			0%
SHL.ASX	Sonic Healthcare Limited	20.69			5.38%
SIG.ASX	Sigma Healthcare Ltd	2.85			0%
SIQ.ASX	Smartgroup Corp Ltd	12.66			3.14%
SLX.ASX	Silex Systems Ltd	5.65			0%
SMR.ASX	Stanmore Resources Ltd	2.58			4.94%
SOL.ASX	Washington H. Soul Pattinson and Company Limited	45.03			1.08%
SPK.ASX	Spark New Zealand Limited	1.81			10.92%
STO.ASX	Santos Limited	8.17			6.35%
SUL.ASX	Super Retail Group Limited	13.25			5.07%
SUN.ASX	Suncorp Group Limited	19.17			3.58%
SYR.ASX	Syrah Resources Limited	0.10			0%
TAH.ASX	Tabcorp Holdings Limited	0.90			2.75%
TCL.ASX	Transurban Group	13.99			0%
TLC.ASX	The Lottery Corporation Limited	5.16			4.87%
TLS.ASX	Telstra Group Ltd	4.70			6.66%
TLX.ASX	Telix Pharmaceuticals Limited	16.17			0%
TNE.ASX	Technology One Limited	33.11			0.86%
TPG.ASX	TPG Telecom Limited	3.84			4.65%
TPW.ASX	Temple & Webster Group Ltd	4.94			0%
TWE.ASX	Treasury Wine Estates Limited	5.68			3.52%
VAU.ASX	Vault Minerals Ltd	6.97			0%
VCX.ASX	Vicinity Centres	2.52			4.92%
VEA.ASX	Viva Energy Group Limited	2.77			2.36%
VNT.ASX	Ventia Services Group Pty Lt	5.92			4.11%
VUL.ASX	Vulcan Energy Resources Ltd	2.75			0%
WA1.ASX	Wa1 Resources Ltd	12.11			0%
WAF.ASX	West African Resources Limited	3.83			0%
WBC.ASX	Westpac Banking Corporation	33.97			4.55%
WBT.ASX	Weebit Nano Ltd	4.05			0%
WDS.ASX	Woodside Energy Group Ltd	33.14			5.18%
WEB.ASX	Webjet Limited	3.71			0%
WES.ASX	Wesfarmers Limited	82.66			2.55%
