AEET.L	-1.4	down	2026-09-13	2026-09-15
ALNA.L	-1.0	down	2026-09-13	2026-09-15
ALW.L	1.1	up	2026-09-13	2026-09-15
ASLI.L	-1.2	down	2026-09-13	2026-09-15
BAK	-1.5	down	2026-09-13	2026-09-15
BRAI	-1.2	down	2026-09-13	2026-09-15
CEK.DE	-1.2	down	2026-09-13	2026-09-15
CREI.L	1.4	up	2026-09-13	2026-09-15
GNFT.PA	1.3	up	2026-09-13	2026-09-15
GROW.L	1.3	up	2026-09-13	2026-09-15
HMU.DE	1.1	up	2026-09-13	2026-09-15
LTA.PA	-1.0	down	2026-09-13	2026-09-15
MCB.L	1.1	up	2026-09-13	2026-09-15
NANO.L	1.1	up	2026-09-13	2026-09-15
RCP.L	2.3	up	2026-09-13	2026-09-15
RLGT	1.6	up	2026-09-13	2026-09-15
SEIT.L	-1.2	down	2026-09-13	2026-09-15
SSIT.L	-1.0	down	2026-09-13	2026-09-15
STVG.L	-1.1	down	2026-09-13	2026-09-15
TEM.L	1.0	up	2026-09-13	2026-09-15
