AAON	74.31999969482422	-6.397987069810015	-2.1719119380891265	-15.353078460586358	1084670.0	1187695.0	1119147.5	1.0219374502713239	0.9691930688314097	19.589530948062702	-0.9125451043413197
ACAD	26.760000228881836	-2.9731678647301156	-7.436871774050637	-5.240791622632961	1243793.4	1638028.9	1655987.7833333334	0.6771351836344279	0.7510885119553065	3.994074157569756	-6.17750494030283
ABSI	7.940000057220459	-10.886642051664959	-12.168140589317982	-13.507627524328045	2481818.0	2709973.0	4357406.5	0.8591930620710981	0.5695631105337544	1.2271441447906	-10.908773755570175
ACT	49.47999954223633	0.3651121865342113	2.6555990851374727	-0.9211035184663359	509282.6	372883.76666666666	366933.55	3.1889642464993337	1.3879423127157493	35.76538439958796	3.9149659188852795
ACET	8.505000114440918	-12.589922769039083	-2.241375851716137	1.4916467576723837	186989.8	106541.63333333333	99499.15	4.495416345847898	1.8793105267733443	7.58156971365112	-0.9820090179683301
AAPL	331.3399963378906	4.7814796846561975	4.573138695045847	8.305822989064824	51411694.8	42788975.8	53464526.233333334	0.7343147016853814	0.9616038600178698	61.59209593892518	5.832505528793654
ACIC	9.140000343322754	-1.8259942925001968	-3.484687586071119	-7.302224527633778	204414.6	265072.43333333335	284871.2166666667	0.8136379829764769	0.717568459151103	7.522160254975816	-2.225320752323312
ABEO	5.46999979019165	-6.495728557875684	-6.495728557875684	-8.681135238665364	1803214.0	1519925.6666666667	1450439.5	1.2722793241862485	1.2432190380915578	42.54520352378986	-5.236361724127877
ADMA	8.609999656677246	-9.748430910843947	-8.306716273979347	-9.081315587136576	2827358.0	2267949.6666666665	2564743.1666666665	1.5825263023914846	1.1023942033442076	0.30622193217247684	-7.047349440231541
ADV	32.93000030517578	6.6386049226767145	-0.1213251866737137	0.4576007671288991	47781.4	91480.23333333334	123350.11666666667	0.4602852273733451	0.3873640438388992	46.69995868930687	1.138041647074093
