TICKER	NAME	EXCHANGE
VSNT	VERSANT MEDIA GROUP INC	NASDAQ
TSLA.24-7	Tesla 24/7	NASDAQ
OPENL	Warrant of Opendoor Technologies Inc	NASDAQ
OPENZ	Warrant of Opendoor Technologies Inc	NASDAQ
OPENW	Warrant of Opendoor Technologies Inc	NASDAQ
MENS	Jyong Biotech Ltd	NASDAQ
RGC	Regencell Bioscience Holdings Ltd	NASDAQ
CVR.AVDL	Avadel Pharmaceuticals CVR	NASDAQ
JAGX.PFD	Jaguar Health/PFD Contra Stock	NASDAQ
HOLX.CVR	HOLX Merger CVR	NASDAQ
ACLX.CVR	ACLX Merger CVR	NASDAQ
APLS.CVR	APLS Merger CVR	NASDAQ
CNTA.CVR	CNTA Merger CVR	NASDAQ
ESPR CVR	ESPERION THERAPEUTICS-CVR	NASDAQ
XOMA.CVR	XOMA Merger CVR	NASDAQ
TKVA	Salspera Inc	NASDAQ
RNA	Atrium Therapeutics Inc	NASDAQ
XRXDW	Xerox Holdings Corp Warrant	NASDAQ
TRAX	First Tracks Biotherapeutics Inc	NASDAQ
LILAP	Liberty Latin American "preferred stock"	NASDAQ
MBGL	Mobility Global Inc -W	NASDAQ
AAPL.24-7	Apple 24/7	NYSE
ADIG	ADI Global Distribution Inc	NYSE
AMZN.24-7	Amazon 24/7	NYSE
AZUL	Azul SA-SPDN ADR	NYSE
BPMC CVR	Sanofi and BPMC Acquisition CVR	NYSE
CVR.THS	TreeHouse Foods CVR	NYSE
EVVAQ	Enviva Inc	NYSE
FDXF	FEDEX FREIGHT HOLDING CO	NYSE
FSRNQ	Fisker Inc	NYSE
GME.WS	GameStop Corp. warrant	NYSE
GOOG.24-7	Google 24/7	NYSE
GRCL.CVR	Gracell Biotechnologies Inc. CVR	NYSE
IGMS CVR	IGMS CVR delisting	NYSE
LLFLQ	Ll Flooring Holdings Inc	NYSE
META.24-7	Meta 24/7	NYSE
MRTX.CVR	Mirati Therapeutics Inc Merger CVR	NYSE
MSFT.24-7	Microsoft 24/7	NYSE
NSTB	Northern Star Investment Corp. II	NYSE
NVDA.24-7	Nvidia 24/7	NYSE
OZ	Belpointe Prep Llc	NYSE
SBDS	Solo Brands Inc	NYSE
SONN CVR	SONN CVR Megrer	NYSE
SURF.CVR	SURF Merger with CHRS CVR	NYSE
TWO	Two Harbors Investment Corp	NYSE
UAVS	AgEagle Aerial Systems Inc	NYSE
VGNT	Versigent Ltd	NYSE
VLGDF	Valor Gold Corp	NYSE
ZIMMER-CVR	FNA US merger/Zimmer holdings CVR	NYSE
ZYNE.CVR	Zynerba Pharmaceuticals, Inc. CVR	NYSE
A4Y0.DE	Accentro Real Estate AG	Frankfurt
