ABEO	0.2845	1.324	None	32.81699258910969	5.429999828338623	6.385400009155274	5.525350005626678	310509184	310.51M	0.9673664413270825	0.1844972675999537	None	39.17807748872939	15.518	9.84	12.889999999999999	-21.209090909090914	-2.46422	27.45	None	-0.43127	6.635	0.69736	6.318	-0.2455	-0.39898	-1.1997399	-23.638190360256782	0.16461	7	-29.088764	2.4262736	-2.272	0.0	None	-21.157003	11.127837144933478	7.193	0.0	47.28555790478648	-299.5297805642633	None	0.78629994	64.3729995393643
ABSI	0.2608	2.436	None	40.67671376940005	8.09000015258789	8.957099990844727	5.4134750092029575	1388357376	1.39B	1.1206194839087404	-1.4616307551950565	None	59.60265056126226	1.556	13.57	-7.95249995	1.3168845155921074	0.0	-0.464	0.009090909090908816	-0.57724	10.627	0.87178004	10.263	-0.34095	0.0	-107.415085	-3.644000663990422	0.11842	9	-11.982346	5.637631	-9.952	0.0	None	197.6119	-1.3950084323902423	761.901	0.0	14.487768313624747	-6924.023062139653	None	0.162	95.4430002538837
AAPL	0.0095999995	1.085	38.2411	63.31557152288966	333.0799865722656	318.4631994628906	285.2391493225098	4861029515264	4.86T	0.8173828839445848	0.24377692400032588	2.61	89.51066877146762	78.445	2.97	5.265000000000001	-1.5174227219983962	0.27618998	0.164	-0.07156673114119938	1.4875101	1.003	0.66339993	0.812	0.27082002	0.48653	0.32623002	2.216030063544053	0.01648	39	34.787766	45.255432	29.002	0.1204	None	24.629128	-1.3114302094323393	10.435	0.35979	1.2836581300332044	31.430327873742996	0.271	0.0844	99.82799999725918
AAON	0.0683	1.414	39.757896	37.59598895137114	75.54000091552734	91.38039993286132	98.21180000305176	6228548096	6.23B	1.0510264598540147	-5.3383483374899825	0.92	3.0412849948587364	44.742	3.84	25.66	-15.151515151515147	0.08243	1.012	None	0.17284	3.013	0.85409	1.934	0.082370006	0.25569	0.10987	-3.431907351526695	0.1673	3	21.411564	6.164015	22.264	0.21049999	None	-20.178020399999998	17.754905437040797	3.457	0.15528	0.00020871637819331693	4.478548902711117	2.658	0.48990002	83.50099987703393
ACET	0.0271	1.587	None	62.29542531975782	9.699999809265137	8.80919997215271	8.071989994049073	90806448	90.81M	1.3126473063973063	1.8907493996460185	None	32.28346289820767	10.699	2.62	6.872499000000001	-4.525165562913908	0.0	None	0.0	-0.78083	6.709	0.64704	6.59	-0.41665	0.0	0.0	-52.32681714408651	0.010779999	6	-2.40099	0.8690977	0.009	0.0	None	-41.557354000000004	-36.3654222484152	None	0.0	130.15595544492612	None	None	0.3646	79.4650851520431
ACIC	0.0701	-0.477	4.633663	40.4924956163994	9.359999656677246	10.091999969482423	11.037699999809265	442442656	442.44M	0.763439208080401	0.2141274492786179	3.06	6.56564789589006	44.762	5.76	11.857500000000003	-81.4814814814815	0.30308	-0.045	None	0.31653	1.083	0.35492	0.482	0.069	0.56622005	0.37283	-11.365512641710568	0.50685	1	8.587155	1.2818406	2.399	0.0	None	-29.980123000000003	31.779683733047843	1.07	0.44599998	53.25548719244647	-9.258267544893418	-0.172	0.172	48.12444561259215
ACAD	0.08930001	0.857	12.340807	43.68259515876282	27.520000457763672	27.513599967956544	24.5709499835968	4741848064	4.74B	0.9908630882964374	-1.1139039410428462	50.86	69.47649030846203	5.652	5.57	106.715	50.66244005527108	0.33416	0.164	0.0	0.35743	3.388	0.99785006	3.107	0.03637	0.62061	0.12286	1.4476845118924502	0.00329	20	30.922739	3.625346	39.223	0.0	None	-2.9378059999999984	-9.91827391791765	3.389	0.08641	20.170911659138305	14.079818846412225	0.181	0.48490003	74.48999979211345
ACT	0.1388	0.459	10.563292	63.561793110389495	50.06999969482422	47.95579986572265	43.094524974822995	6883807232	6.88B	1.0218569113220652	1.2947590242709823	None	96.92210863583051	13.812	9.47	5.0325	-0.9198729144834298	0.54507	0.041	None	0.12869	0.922	0.22625999	0.83	0.08351	0.73177004	0.73258	7.5764306352964415	0.80867994	5	9.997804	1.2818412	None	0.1835	None	13.583314	6.434215665655139	5.689	0.0	7.228107575223862	57.50355907824826	0.042	0.0341	19.12200031376817
ADBE	0.048899997	1.417	14.829704	50.55942791257998	265.6000061035156	253.52579864501953	266.33914993286135	105576005632	105.58B	1.1771249780205004	5.300721802500825	0.61	41.761649941084215	57.48	3.99	2.12333332	5.442749612382962	0.28048	0.129	-0.0064102564102563875	0.61902	0.77	0.87148005	0.649	0.19731002	0.89252996	0.34822	8.647680314619462	0.00223	34	9.598466	8.9181385	10.328	0.0	None	-43.079060000000005	-10.221592618544678	3.88	0.37563	5.341175800546505	41.609548206623884	0.031	0.1304	99.05407547169811
ADSK	0.044899996	1.309	29.692606	46.858026658239844	228.92999267578125	232.24659942626954	245.1063498687744	47846367232	47.85B	1.3840805952690625	7.782485524624338	0.82	30.75560702201066	109.518	4.45	6.372499825	-2.565258812321367	0.21078	0.161	-0.062091503267973636	0.53854	0.855	1.01344	0.73	0.11472999	0.92503	0.29228002	6.599246895150361	0.0023100001	34	16.109907	14.14283	20.733	0.0	None	-49.59308	-5.361561073618041	6.084	0.29345	8.6840450056595	37.175865884658435	0.572	0.1265	99.729
