AQN	NYSE
AR.US	NYSE
ARCO	NYSE
ARE	NYSE
ARES	NYSE
ARI	NYSE
ARIS	NYSE
ARLO	NYSE
ARMK	NYSE
AROC	NYSE
ARW	NYSE
ARX	NYSE
AS	NYSE
ASAN	NYSE
ASB	NYSE
ASC	NYSE
ASH	NYSE
ASIX	NYSE
ASPN	NYSE
ASR	NYSE
ASX	NYSE
ATEN	NYSE
ATHM.CH	NYSE
ATI	NYSE
ATKR	NYSE
ATMU	NYSE
ATNM	NYSE
ATO	NYSE
ATR	NYSE
ATS	NYSE
AU	NYSE
AUB	NYSE
AVA	NYSE
AVEX	NYSE
AVNT.US	NYSE
AVTR	NYSE
AVY	NYSE
AWI	NYSE
AWK	NYSE
AWR	NYSE
AX	NYSE
AXP	NYSE
AXS.US	NYSE
AXTA	NYSE
AYI	NYSE
AZO	NYSE
AZZ	NYSE
B	NYSE
BA	NYSE
BABA	NYSE
BAC	NYSE
BAH	NYSE
BALL	NYSE
BAM	NYSE
BANC	NYSE
BAP	NYSE
BARK	NYSE
BAX	NYSE
BB	NYSE
BBAI	NYSE
BBAR	NYSE
BBDC	NYSE
BBT	NYSE
BBUC	NYSE
BBVA.US	NYSE
BBW	NYSE
BBWI	NYSE
BBY	NYSE
BC	NYSE
BCC	NYSE
BCE	NYSE
BCH.US	NYSE
BCO	NYSE
BCS	NYSE
BCSF	NYSE
BDC	NYSE
BDN	NYSE
BDX	NYSE
BE	NYSE
BEKE	NYSE
BEN	NYSE
BEPC	NYSE
BETA	NYSE
BF-B	NYSE
BF.A	NYSE
BFAM	NYSE
BFH	NYSE
BFLY	NYSE
BG	NYSE
BGS	NYSE
BHB	NYSE
BHC	NYSE
BHE	NYSE
BHP	NYSE
BHVN	NYSE
BILL	NYSE
BIO.US	NYSE
BIP	NYSE
BIPC	NYSE
BIRK	NYSE
BJ	NYSE
BKD	NYSE
BKE	NYSE
BKH	NYSE
BKR	NYSE
BKSY	NYSE
BKTI	NYSE
BKU	NYSE
BKV	NYSE
BLCO	NYSE
BLDR	NYSE
BLK	NYSE
BLND.US	NYSE
BLSH	NYSE
BMA	NYSE
BMI	NYSE
BMNR	NYSE
BMO	NYSE
BMY	NYSE
BN.US	NYSE
BNL	NYSE
BNS	NYSE
BNY	NYSE
BOBS	NYSE
BOH	NYSE
BOOT	NYSE
BORR	NYSE
BOX	NYSE
BP.US	NYSE
BR	NYSE
BRBR	NYSE
BRC	NYSE
BRCC	NYSE
BRK.B	NYSE
BRO	NYSE
BROS	NYSE
BRSL	NYSE
BRSP	NYSE
BRT	NYSE
BRX	NYSE
BSAC	NYSE
BSBR	NYSE
BSM	NYSE
BSX.US	NYSE
BTG.US	NYSE
BTGO	NYSE
BTU	NYSE
BUD	NYSE
BUR	NYSE
BURL	NYSE
BV.US	NYSE
BVN	NYSE
BW	NYSE
BWA	NYSE
BWXT	NYSE
BX	NYSE
BXC	NYSE
BXDC	NYSE
BXMT	NYSE
BXP	NYSE
BXSL	NYSE
BY	NYSE
BYD	NYSE
BZH	NYSE
C	NYSE
CAAP	NYSE
CABO	NYSE
CACI	NYSE
CAG	NYSE
CAH	NYSE
CALX.US	NYSE
CALY	NYSE
CANG	NYSE
CARR	NYSE
CARS	NYSE
CAT	NYSE
CAVA	NYSE
CB	NYSE
CBL.US	NYSE
CBRE	NYSE
CBT	NYSE
CBU	NYSE
CBZ	NYSE
CC.US	NYSE
CCEP	NYSE
CCI	NYSE
CCJ	NYSE
CCK	NYSE
CCL	NYSE
CCU	NYSE
CDE	NYSE
CDP	NYSE
CDRE	NYSE
CE	NYSE
CF	NYSE
CFG	NYSE
CFR	NYSE
CGAU	NYSE
CHCT	NYSE
CHD	NYSE
CHE	NYSE
CHH	NYSE
CHPT	NYSE
CHWY	NYSE
CI	NYSE
CIB	NYSE
CIEN	NYSE
CIM	NYSE
CINT	NYSE
CL	NYSE
CLB	NYSE
CLF.US	NYSE
CLH	NYSE
CLS	NYSE
CLVT	NYSE
CLW	NYSE
CLX	NYSE
CM	NYSE
CMC	NYSE
CMCL	NYSE
CMG	NYSE
CMI	NYSE
CMP	NYSE
CMS	NYSE
CMT	NYSE
CMTG	NYSE
CNA	NYSE
CNC	NYSE
CNH.US	NYSE
CNI	NYSE
CNK	NYSE
CNM	NYSE
CNMD	NYSE
CNNE	NYSE
CNO	NYSE
CNP	NYSE
CNQ	NYSE
CNR	NYSE
CNS	NYSE
CNX	NYSE
CODI	NYSE
COF	NYSE
COHR	NYSE
COLD	NYSE
COMP.US	NYSE
CON.US	NYSE
COOK	NYSE
COP	NYSE
COR	NYSE
COTY	NYSE
COUR	NYSE
CP	NYSE
CPA	NYSE
CPAY	NYSE
CPF	NYSE
CPK	NYSE
CPNG	NYSE
CPRI	NYSE
CPS	NYSE
CPT	NYSE
CQP	NYSE
CR	NYSE
CRBG	NYSE
CRC	NYSE
CRCL	NYSE
CRD.A	NYSE
CRGY	NYSE
CRH	NYSE
CRI	NYSE
CRK	NYSE
CRL	NYSE
CRM	NYSE
CRS	NYSE
CSL	NYSE
CSQR	NYSE
CSR	NYSE
CSTM	NYSE
CSV	NYSE
CSW	NYSE
CTEV	NYSE
CTGO	NYSE
CTO	NYSE
CTOS	NYSE
CTRE	NYSE
CTRI	NYSE
CTVA	NYSE
CUBE	NYSE
CUBI	NYSE
CURB	NYSE
CURV	NYSE
CUZ	NYSE
CVE	NYSE
CVEO	NYSE
CVI.US	NYSE
CVLG	NYSE
CVNA	NYSE
CVS	NYSE
CVSA	NYSE
CVX.US	NYSE
CW	NYSE
CWEN	NYSE
CWH	NYSE
CWK.US	NYSE
CWT	NYSE
CX	NYSE
CXM	NYSE
CXT	NYSE
CXW	NYSE
CYD	NYSE
CYH	NYSE
D	NYSE
DAC	NYSE
DAL	NYSE
DAN	NYSE
DAR	NYSE
DAVA	NYSE
DB	NYSE
DBD	NYSE
DBI	NYSE
DCH.US	NYSE
DCI	NYSE
DCO	NYSE
DCOM	NYSE
DD	NYSE
DDS	NYSE
DE	NYSE
DEA	NYSE
DECK	NYSE
DEI	NYSE
DELL	NYSE
DEO	NYSE
DFIN	NYSE
DG.US	NYSE
DGX	NYSE
DHI	NYSE
DHR	NYSE
DHT	NYSE
DIN	NYSE
DINO	NYSE
DIS	NYSE
DK	NYSE
DKL	NYSE
DKS	NYSE
DLB	NYSE
DLR	NYSE
DNA	NYSE
DNN	NYSE
DNOW	NYSE
DOC	NYSE
DOCN	NYSE
DOCS	NYSE
DOLE	NYSE
DOV	NYSE
DOW	NYSE
DQ	NYSE
DRD	NYSE
DRI	NYSE
DT	NYSE
DTE	NYSE
DTM	NYSE
DUK	NYSE
DV	NYSE
DVA	NYSE
DVN	NYSE
DX	NYSE
DXC	NYSE
DY	NYSE
E	NYSE
EAF	NYSE
EAT	NYSE
EBS	NYSE
EC	NYSE
ECG	NYSE
ECL	NYSE
ECVT	NYSE
ED	NYSE
EDU	NYSE
EE	NYSE
EFC	NYSE
EFOR	NYSE
EFX	NYSE
EFXT	NYSE
EG	NYSE
EGHT	NYSE
EGO	NYSE
EGP.US	NYSE
EGY	NYSE
EHC	NYSE
EIG	NYSE
EIX	NYSE
EL	NYSE
ELAN	NYSE
ELF	NYSE
ELS	NYSE
ELV	NYSE
EMA	NYSE
EMBJ	NYSE
EME	NYSE
EMN	NYSE
EMR	NYSE
ENB	NYSE
ENIC	NYSE
ENOV	NYSE
ENR	NYSE
ENS.US	NYSE
ENVA	NYSE
EOG	NYSE
EPAC	NYSE
EPAM	NYSE
EPC	NYSE
EPD	NYSE
EPM	NYSE
EPR	NYSE
EPRT	NYSE
EQBK	NYSE
EQH	NYSE
EQNR	NYSE
EQT	NYSE
EQX	NYSE
ERO	NYSE
EROC	NYSE
EROK	NYSE
ES	NYSE
ESAB	NYSE
ESE	NYSE
ESI	NYSE
ESNT	NYSE
ESRT	NYSE
ESS	NYSE
ESTC	NYSE
ET	NYSE
ETD	NYSE
ETN	NYSE
ETR	NYSE
ETSY	NYSE
EVEX	NYSE
EVH	NYSE
EVR	NYSE
EVRG	NYSE
EVTC	NYSE
EW	NYSE
EXE	NYSE
EXK	NYSE
EXP	NYSE
EXPD	NYSE
EXR	NYSE
F	NYSE
FAF	NYSE
FBIN	NYSE
FBK	NYSE
FBP	NYSE
FBRT	NYSE
FC	NYSE
FCF	NYSE
FCN	NYSE
FCPT	NYSE
FCX	NYSE
FDS	NYSE
FDX	NYSE
FE	NYSE
FG	NYSE
FHI	NYSE
FHN	NYSE
FICO	NYSE
FIG	NYSE
FIGS	NYSE
FINV	NYSE
FIS.US	NYSE
FITB	NYSE
FIX	NYSE
FLG	NYSE
FLO	NYSE
FLR.US	NYSE
FLS	NYSE
FMC	NYSE
FMS	NYSE
FMX	NYSE
FN	NYSE
FNB	NYSE
FND	NYSE
FNF	NYSE
FNV	NYSE
FOUR	NYSE
FPI	NYSE
FPS	NYSE
FR.US	NYSE
FRO	NYSE
FRT	NYSE
FSK	NYSE
FSM	NYSE
FSS	NYSE
FTAI	NYSE
