# eToro "elevated risk" trading-restriction list.
# One ticker per line (matches data-ticker on the row). Manually verified
# 2026-09-12 by clicking Trade on every ticker with Upside % >= 200 and
# recording which ones show the "elevated risk" blocking modal.
PDSB
SRFM
ZEPP
MREO
SDA
DVLT
BKYI
ATYR
MVST
SLQT
INV.US
CXAI
BDTX
CMPX
AKBA
EMAT
CRBP
ZURA
VTGN
SNGX
PROK
KLRA
UPLD
HUMA
CODX
CAPR
IMRX
FATE
OPAD
IMSR
GRSD
MLTX
HIMX
DFLI
ASPI
HYLN
TE
WYFI
WATT
VLN
CRML
SBET
BETR
INOD
PIII
ALXO
VISN
TRDA
AMPX
LXRX
OSG
FRVO
RCAT
XE
MRAM
QUIK
BMNR
ARBE
SPRB
LIDR
ONDS
PANR.L
RGNX
CABO
TNGX
LFTO
OGI
KRRO
AEVA
ILM1.DE
FRMI
