AAON	8.3	2.0	2.0	1.0	2
ACET	6.7	1.0	2.0	1.0	1
ABEO	6.7	1.0	2.0	1.0	1
ABSI	5.8	1.0	1.5	1.0	1
ACAD	7.5	1.5	2.0	1.0	2
ACIC	4.2	0.0	1.5	1.0	2
AAPL	6.7	2.0	1.0	1.0	2
ACT	5.0	1.0	1.0	1.0	2
ADBE	5.8	1.0	1.5	1.0	2
ADMA	7.5	1.5	2.0	1.0	2
ADV	6.7	1.0	2.0	1.0	1
AEIS	8.3	2.0	2.0	1.0	2
ADSK	7.5	2.0	1.5	1.0	2
AEVA	4.2	1.0	0.5	1.0	1
AFYA	6.7	1.5	1.5	1.0	2
AGMB	3.3	1.0	0.0	1.0	1
AGNT	6.7	1.0	2.0	1.0	1
AIP	6.7	1.0	2.0	1.0	1
ALCO	3.3	1.0	0.0	1.0	1
ALGM	6.7	1.0	2.0	1.0	1
ALLO	3.3	1.0	0.0	1.0	1
ALMS	5.8	1.0	1.5	1.0	1
ALHC	8.3	2.0	2.0	1.0	2
ALTO	3.3	1.0	0.0	1.0	1
ALRM	3.3	0.0	1.0	1.0	2
AMBR	6.7	2.0	1.0	1.0	1
AMAL	7.5	2.0	1.5	1.0	2
AMD	8.3	2.0	2.0	1.0	2
AMSC	8.3	2.0	2.0	1.0	2
AMLX	6.7	1.0	2.0	1.0	1
AMZN	5.0	2.0	0.0	1.0	2
ANGI	6.7	1.0	2.0	1.0	1
ANIP	7.5	2.0	1.5	1.0	2
APC	7.5	2.0	1.5	1.0	2
API	6.7	2.0	1.0	1.0	1
APP	8.3	2.0	2.0	1.0	2
ARCB	6.7	1.0	2.0	1.0	1
APPS	6.7	1.0	2.0	1.0	1
ARDX	6.7	1.0	2.0	1.0	1
ARKO	3.3	0.0	1.0	1.0	1
ARXS	6.7	1.0	2.0	1.0	1
ARTNA	5.0	1.0	1.0	1.0	1
ASPS	6.7	1.0	2.0	1.0	1
ASND	3.3	1.0	0.0	1.0	1
ASTH	7.5	2.0	1.5	1.0	2
ATAI	3.3	1.0	0.0	1.0	1
ATEX	3.3	0.0	1.0	1.0	1
ATNI	6.7	1.0	2.0	1.0	1
ATYR	3.3	1.0	0.0	1.0	1
AUTL	6.7	1.0	2.0	1.0	1
AUPH	7.5	2.0	1.5	1.0	2
AVNW	5.8	1.0	1.5	1.0	1
ATRC	6.7	1.0	2.0	1.0	1
AXON	5.0	0.0	2.0	1.0	2
AZN	5.8	1.0	1.5	1.0	2
AVT.US	6.7	2.0	1.0	1.0	2
AD.NV	4.2	0.5	1.0	1.0	2
BNJ.NV	4.2	0.0	1.5	1.0	2
ASRNL.NV	6.7	2.0	1.0	1.0	2
AKZA.NV	6.7	1.5	1.5	1.0	2
BAMNB.NV	5.8	2.0	0.5	1.0	2
ARCAD.NV	5.8	0.5	2.0	1.0	2
CSG.NV	8.3	2.0	2.0	1.0	2
AVGO	8.3	2.0	2.0	1.0	2
DSFIR.NV	4.2	0.0	1.5	1.0	2
INPST.NV	4.2	0.0	1.5	1.0	2
HOLCO.NV	3.3	0.0	1.0	1.0	1
FUR.NV	6.7	1.0	2.0	1.0	1
KPN.NV	4.2	0.5	1.0	1.0	2
HEIA.NV	6.7	2.0	1.0	1.0	2
NAI.NV	6.7	2.0	1.0	1.0	1
MICC.NV	4.2	0.0	1.5	1.0	2
NN.NV	6.7	2.0	1.0	1.0	2
NXFIL.NV	6.7	1.0	2.0	1.0	1
PHARM.NV	1.7	0.0	0.0	1.0	2
PRX.NV	5.8	1.0	1.5	1.0	1
REN.NV	7.5	2.0	1.5	1.0	2
SLIGR.NV	6.7	1.0	2.0	1.0	1
TOM2.NV	6.7	1.0	2.0	1.0	1
BBIO	6.7	1.0	2.0	1.0	1
UNA.NV	4.2	0.5	1.0	1.0	2
BANF	5.0	1.0	1.0	1.0	2
VPK.NV	4.2	0.0	1.5	1.0	2
WKL.NV	5.8	1.0	1.5	1.0	2
BEAM	4.2	1.0	0.5	1.0	1
BETR	6.7	1.0	2.0	1.0	1
BCRX	8.3	2.0	2.0	1.0	2
BCIC	3.3	1.0	0.0	1.0	1
BIDU	5.0	0.0	2.0	1.0	2
BGC	7.5	2.0	1.5	1.0	2
